author_id,name,country,country_id,gender,Gender,Gender Probability,Gender Count
L.L.Denmat.1,Le,France,FR,female,male,0.78,13210
Angels.Ramos.1,Angels,Ecuador,EC,unknown,male,0.67,3
M.A.H.MacCallum.1,MalcolmH,United Kingdom,GB,unknown,unknown,0.0,0
An.Zhong.Wang.1,Anzhong,United States,US,unknown,unknown,0.0,0
Jose.Antonio.Lopez.1,Jose Antonio,Venezuela,VE,male,male,1.0,51443
E.Castillo.2,Edmundo,Venezuela,VE,male,male,1.0,280
P.D.Alvarez.1,Pedro Diego,Chile,CL,male,male,1.0,34553
P.Garcia.3,Pedro,Venezuela,VE,male,male,1.0,12407
R.R.Prado.1,Raul Ribeiro,Chile,CL,male,male,1.0,14024
A.Font.1,Anamar,Venezuela,VE,unknown,female,1.0,41
F.Villalba.1,Fabi,Colombia,CO,unknown,female,0.55,645
P.Bargueno.1,Pedro,Colombia,CO,male,male,0.99,52186
G.Zoccarato.1,Gianluca,Spain,ES,male,male,0.99,483
S.Theisen.1,Stefan Josef,Germany,DE,male,male,1.0,2
M.Fuchs.2,Michael,Germany,DE,male,male,1.0,226357
E.Plauschinn.1,Erik,Germany,DE,male,male,1.0,10989
I.Garcia.Etxebarria.1,Iñaki,Germany,DE,male,male,1.0,14
D.Lust.1,Dieter,Germany,DE,male,male,1.0,34979
S.Massai.1,Stefano,Germany,DE,male,male,1.0,2191
C.Mayrhofer.1,Christoph Konrad,Germany,DE,male,male,1.0,52489
A.Lopez.3,Alexander,Venezuela,VE,male,male,1.0,6141
M.Angel.1,Mauricio,Venezuela,VE,male,male,1.0,1338
A.Herraez.1,Alvaro,Spain,ES,male,male,0.99,71372
C.Di.Bartolo.1,Cayetano Benito,Venezuela,VE,male,male,1.0,309
R.Gaitan.1,Ricardo,Venezuela,VE,male,male,1.0,6701
Mirjam.Cvetic.1,Mirjam,United States,US,female,female,1.0,69
H.Gzyl.1,Henryk,Venezuela,VE,male,male,1.0,9
J.P.Martin.1,Jean Pierre,Spain,ES,male,male,0.98,167
C.Bizdadea.1,Constantin,Venezuela,VE,male,male,1.0,14
C.C.Ciobirca.1,Costin Catalin,Venezuela,VE,male,female,1.0,6
E.M.Cioroianu.1,Eugen Mihaita,Venezuela,VE,male,male,1.0,6
I.Negru.1,Iulian,Venezuela,VE,male,unknown,0.0,0
S.O.Saliu.1,Solange Odile,Venezuela,VE,female,female,1.0,337
S.C.Sararu.1,Silviu Constantin,Venezuela,VE,male,unknown,0.0,0
C.Teruel.1,Carolina,Venezuela,VE,female,female,1.0,5902
J.Ovalle.1,Jorge,Venezuela,VE,male,male,1.0,12587
G.F.Miranda.1,Guillermo,Venezuela,VE,male,male,1.0,3024
N.A.Pereyra.1,Nicolas,United States,US,male,male,1.0,27829
R.Gaitan.D.1,Rolando,Venezuela,VE,male,male,1.0,845
S.C.B.Andrade.1,SarahB,Brazil,BR,unknown,unknown,0.0,0
E.Ferreira.1,Erasmo,Brazil,BR,male,male,1.0,2856
L.Y.Chang.1,Luis Ye,Venezuela,VE,male,male,1.0,36264
I.Martin.2,Iain,Spain,ES,male,male,1.0,136
H.J.Lipkin.1,Harry,Israel,IL,male,male,0.99,296
I.Cohen.2,Isaac,Venezuela,VE,male,male,1.0,925
C.Gonzalez.2,Carlos,Venezuela,VE,male,male,1.0,32771
A.Khoudeir.1,Adel,Venezuela,VE,male,male,0.86,7
J.Stephany.1,Jorge,Germany,DE,male,male,0.99,2567
A.Kumar.4,Ashish,France,FR,male,male,0.99,103
G.A.Gonzalez.1,Guillermo,Colombia,CO,male,male,1.0,31991
L.A.Pachon.1,Leonardo,Colombia,CO,male,male,1.0,42714
J.A.Rueda.1,Jorge Armando,Colombia,CO,male,male,0.99,1981
Paulo.R.C.T.Pereira.1,PauloC,Brazil,BR,unknown,male,1.0,2
J.Griego.1,Jorge,Uruguay,UY,male,male,0.99,16075
J.Camacaro.1,Jaime,Venezuela,VE,male,male,0.98,168
A.di.Teodoro.1,Antonio,Venezuela,VE,male,male,1.0,8221
A.Rincon.1,Ángel,Chile,CL,male,male,0.92,298
F.Tello.Ortiz.1,Francisco,Chile,CL,male,male,1.0,55470
P.Leon.1,Pablo Enmanuel,Chile,CL,male,male,1.0,113
A.Hernandez.2,Alexis,Venezuela,VE,male,male,0.94,329
Y.Martinez.1,Yisely,Venezuela,VE,unknown,unknown,0.0,0
A.Diaz.1,Adalberto,Venezuela,VE,male,male,1.0,268
R.Revoredo.1,Ryan,Venezuela,VE,male,male,1.0,40
J.A.Gonzalez.1,Jorge,United States,US,male,male,1.0,145233
M.A.Garcia.Nustes.1,Mónica,Chile,CL,female,female,1.0,1535
L.E.Guerrero.1,Luis Emilio,Venezuela,VE,male,male,1.0,1467
J.F.Marin.2,Juan,Chile,CL,male,male,1.0,111248
L.Vazquez.2,Luis,Spain,ES,male,male,0.99,217437
B.Fraiman.1,Bernardo,Argentina,AR,male,male,1.0,2498
M.Grana.1,Mariana Cecilia,France,FR,female,female,0.98,3831
H.Parra.De.Freitas.1,Hector Alejandro,Venezuela,VE,male,male,1.0,5820
F.Pena.Benitez.1,Francisco,Venezuela,VE,male,male,1.0,9588
J.C.Perez.Mosquera.1,Jean Carlos,Venezuela,VE,male,female,0.87,3998
C.Mateu.1,Cecilia,Venezuela,VE,female,female,1.0,1066
A.K.Vivas.1,Katherina,Venezuela,VE,female,female,1.0,58
R.Zinn.1,Robert,United States,US,male,male,1.0,780374
Lissa.R.Miller.1,Lissa,United States,US,female,female,1.0,4253
J.Grau.1,Javier,Venezuela,VE,male,male,1.0,8070
C.Briceno.1,Cesar,Venezuela,VE,male,male,1.0,6614
N.Calvet.1,Nuria,United States,US,female,female,1.0,1733
J.J.Hernandez.2,Jesus,Venezuela,VE,male,male,1.0,17135
L.W.Hartmann.1,Lee,United States,US,male,male,0.82,27231
J.J.Downes.1,Juan,Venezuela,VE,male,male,1.0,24415
P.Berlind.1,Perry,United States,US,male,male,0.95,4704
B.Rodriguez.1,Boris,Venezuela,VE,male,male,1.0,360
D.R.Gaitan.1,Rolando,Venezuela,VE,male,male,1.0,845
J.F.Martin.2,John Fraser,Spain,ES,male,male,0.99,13187
A.Guarino.1,Adolfo,Spain,ES,male,male,0.99,13073
J.M.Moreno.1,Jesus Maria,Spain,ES,male,male,0.98,662
Bobby.Samir.Acharya.1,Bobby Samir,Italy,IT,male,male,0.94,1272
E.Andres.2,Eduardo,Argentina,AR,male,male,1.0,33091
K.S.Narain.1,Kumar,Italy,IT,male,male,0.98,805
I.G.Zadeh.1,Ida Ghazvini,Italy,IT,female,female,0.99,16983
A.Castellano.2,Alberto,Spain,ES,male,male,0.99,160947
B.Berche.1,Bertrand,France,FR,male,male,0.99,41665
C.Chatelain.1,Christophe,France,FR,male,male,1.0,244277
E.Medina.2,Ernesto,Venezuela,VE,male,male,1.0,2323
D.Perez.Astudillo.2,Daniel,Venezuela,VE,male,male,1.0,11093
K.B.Cantun.Avila.1,Karla Beatriz,Venezuela,VE,female,female,1.0,2561
G.Bruzual.A.1,Gustavo,Venezuela,VE,male,male,1.0,6712
Stephane.Charlot.1,Stephane,Germany,DE,unknown,male,0.95,189
S.Duffau.1,Sonia,Chile,CL,female,female,1.0,7547
G.Carraro.1,Giovanni,Chile,CL,male,male,1.0,2643
R.A.Mendez.1,Rene,Chile,CL,male,male,0.99,3132
R.Winnick.1,Rebeccah,United States,US,unknown,female,1.0,675
C.Gallart.1,Carmen,Spain,ES,female,female,0.99,167096
R.Iturriaga.1,Renato,Venezuela,VE,male,male,1.0,196
K.Khanin.1,Konstantin,United Kingdom,GB,male,male,1.0,759
P.Madau.1,Piero,United States,US,male,male,1.0,1050
G.Zamorani.1,Gianni,Italy,IT,male,male,0.99,114144
H.C.Ferguson.1,Henry,United States,US,male,male,1.0,99898
R.Gonzalez.2,Rosa,Mexico,MX,female,female,0.99,55533
M.C.Liu.1,Michael,United States,US,male,male,1.0,1225359
K.L.Luhman.1,Kevin,United States,US,male,male,1.0,510914
J.R.Stauffer.1,John,United States,US,male,male,1.0,1328805
D.A.Kirkpatrick.1,Davy,United States,US,male,male,0.91,509
L.Binette.1,Luc,Mexico,MX,male,male,0.77,129
Y.Krongold.1,Yair,Mexico,MX,male,male,1.0,5462
G.M.Crestini.1,Gladis Magris,Venezuela,VE,female,female,1.0,229
J.A.de.Diego.1,Jose Antonio,Mexico,MX,male,male,1.0,9807
A.Bongiovanni.1,Angel,Venezuela,VE,male,male,0.96,1177
J.Gallego.1,Jesus,Spain,ES,male,male,0.99,146516
P.S.Coppi.1,Paolo Severo,United States,US,male,male,1.0,5276
D.C.Koo.1,David,United States,US,male,male,1.0,1143153
I.Ciuca.1,Ioana,United Kingdom,GB,female,female,0.99,2103
D.Kawata.1,Daisuke,United Kingdom,GB,male,male,1.0,92
S.Ando.1,Shin'ichiro,Netherlands,NL,unknown,unknown,0.0,0
F.Calore.2,Francesca,France,FR,female,female,0.99,3948
Justin.I.Read.1,Justin Inglis,United Kingdom,GB,male,male,1.0,20733
J.Mateu.2,Juan,Venezuela,VE,male,male,1.0,24415
J.Muzerolle.1,James,United States,US,male,male,1.0,746260
G.Sanchez.Colon.1,Gabriel,Venezuela,VE,male,male,1.0,5441
Augusto.Garcia.1,Augusto,Mexico,MX,male,male,1.0,2448
M.Gomez.3,Mercedes,United States,US,female,female,0.99,26339
S.J.Kenyon.1,Scott,United States,US,male,male,1.0,437610
B.A.Whitney.1,Barbara,United States,US,female,female,1.0,286621
S.Hoyer.1,Stephan,Chile,CL,male,male,0.99,91
Z.Ivezic.1,Zeljko,United States,US,unknown,male,1.0,411
R.H.Lupton.1,Robert,United States,US,male,male,1.0,780374
L.A.Hillenbrand.1,Lynne,United States,US,female,female,1.0,35761
R.A.Gonzalez.Lopezlira.1,Rosa,Mexico,MX,female,female,0.99,55533
J.Ballesteros.Paredes.1,Javier,France,FR,male,male,1.0,1836
L.Loinard.1,Laurent,France,FR,male,male,0.99,218225
M.Mateo.1,Mario,United States,US,male,male,1.0,108768
M.Y.Albarran.1,Marna,Mexico,MX,female,female,1.0,8
M.Mouhcine.1,Mustapha,United Kingdom,GB,male,male,0.99,1027
B.de.Batz.1,Bertrand,France,FR,male,male,0.99,41665
J.E.Wang.2,John,Canada,CA,male,male,1.0,106614
M.Villar.Martin.1,Montserrat,Germany,DE,female,female,0.99,147
P.G.Martin.1,Peter,Canada,CA,male,male,1.0,51142
G.Magris.C.1,Gladis,Venezuela,VE,female,female,1.0,229
G.C.Magris.1,Gladis,Venezuela,VE,female,female,1.0,229
C.Morisset.1,Christophe,Mexico,MX,male,male,1.0,80
S.Haro.Corzo.1,Sinhue,Mexico,MX,unknown,male,0.98,56
H.Mutschke.1,Harald,Germany,DE,male,male,1.0,24151
A.C.Andersen.1,Anja,Sweden,SE,female,female,1.0,1305
T.Preibisch.1,Thomas,Germany,DE,male,male,1.0,202801
W.H.Sherry.1,William,United States,US,male,male,1.0,452552
E.E.Mamajek.1,Eric,United States,US,male,male,1.0,406678
R.D.Mathieu.1,Robert,United States,US,male,male,1.0,780374
F.M.Walter.1,Frederick,United States,US,male,male,1.0,27184
H.Zinnecker.1,Hans,Germany,DE,male,male,0.98,43961
A.Quintero.1,Amilkar,Venezuela,VE,unknown,male,1.0,5
M.Rengel.1,Miriam,Germany,DE,female,female,0.99,15407
G.Furesz.1,Gabor,United States,US,unknown,male,1.0,765
A.Szentgyorgyi.1,Andrew,United States,US,male,male,1.0,401335
J.Canto.1,Jorge,Mexico,MX,male,male,1.0,204658
J.H.Garcia.1,Guillaume,Venezuela,VE,male,male,1.0,10
N.Sanchez.1,Nestor,Venezuela,VE,male,male,1.0,2713
S.Deser.1,Stanley,United States,US,male,male,1.0,33038
Chun.Hua.Qi.1,Chun Hua,United States,US,andy,male,0.75,498
Elise.Furlan.1,Elise,United States,US,female,female,1.0,21659
D.Watson.1,Darach,United States,US,unknown,male,1.0,1
Luis.F.Urrutia.1,Luis,Mexico,MX,male,male,1.0,281467
Z.Zhu.6,Zhao Huan,United States,US,andy,male,0.94,1266
A.Tannirkulam.1,Ajay Kumar,United States,US,male,male,1.0,15
M.MunozEcheverria.1,Miren,Venezuela,VE,female,female,1.0,52
L.Pereira.1,Louis,Spain,ES,male,male,0.97,872
A.Sicilia.Aguilar.1,Aurora,United States,US,female,female,1.0,13164
C.Abad.2,Carlos,Venezuela,VE,male,male,1.0,32771
K.Vieira.1,Katherine,Venezuela,VE,female,female,1.0,1790
R.A.E.Fosbury.1,RobertE,Germany,DE,female,female,1.0,1
D.Parker.1,David,Canada,CA,male,male,1.0,100273
J.D.Kirkpatrick.1,Davy,Venezuela,VE,male,male,1.0,1
S.T.Megeath.1,Thomas,United States,US,male,male,1.0,360809
M.Malaver.1,Manuel,Venezuela,VE,male,male,1.0,9234
H.D.Kasmaei.1,Hamed Daei,"Iran, Islamic Republic of",IR,male,male,0.99,27703
S.Sadhukhan.3,Shouvik,India,IN,unknown,male,0.99,74
A.Kar.5,Abinash,India,IN,unknown,male,0.98,774
D.A.Turnshek.1,David,United States,US,male,male,1.0,1143153
D.J.Hillier.1,John,United States,US,male,male,1.0,1328805
D.E.Vanden.Berk.1,Daniel,United States,US,male,male,1.0,514673
B.C.Wilhite.1,Brian,United States,US,male,male,1.0,541540
R.G.Kron.1,Richard,United States,US,male,male,1.0,472162
D.P.Schneider.1,Donald,United States,US,male,male,1.0,130737
J.Brinkmann.1,Jon,United States,US,male,male,1.0,154265
N.R.Badnell.1,Nigel,United Kingdom,GB,male,male,1.0,46666
F.Delahaye.1,Franck,United States,US,male,male,0.99,1995
C.Mendoza.1,Claudio,Venezuela,VE,male,male,1.0,842
M.J.Seaton.1,Michael,United Kingdom,GB,male,male,1.0,210764
Alexandra.De.Castro.1,Alexandra,Venezuela,VE,female,female,1.0,2387
Isbelia.Martin.1,Isbelia,Venezuela,VE,unknown,female,1.0,5
A.Mejias.1,Andrea,Venezuela,VE,female,female,0.99,4808
F.de.Felice.1,Fernando,Italy,IT,male,male,0.99,19295
W.Greiner.1,Walter,Germany,DE,male,male,1.0,16322
T.R.Kallman.1,Timothy,United States,US,male,male,1.0,159894
L.A.Gonzalez.Diaz.1,Luis,Venezuela,VE,male,male,1.0,36264
P.Silva.Galiza.1,Pitagoras,Venezuela,VE,unknown,unknown,0.0,0
U.Percoco.1,Umberto,Venezuela,VE,male,male,1.0,35
G.V.Shishkin.1,German,Belarus,BY,male,male,1.0,37
R.Pino.2,Ramiro,Netherlands,NL,male,male,0.99,127
R.Medina.2,Rodrigo,Venezuela,VE,male,male,1.0,737
L.D.G.Sigalotti.1,Leonardo,Venezuela,VE,male,male,1.0,5235
J.Klapp.1,Jaime,Mexico,MX,male,male,0.99,25122
E.Sira.2,Eloy,Venezuela,VE,male,male,1.0,347
G.M.Buendia.1,Gloria,Venezuela,VE,female,female,1.0,1910
P.Cordero.1,Patricio,Chile,CL,male,male,1.0,42028
N.Smith.1,Nathan,United States,US,male,male,1.0,145306
K.Lodders.1,Katharina,United States,US,female,female,1.0,1588
I.Bednyakov.1,Ilya,Russian Federation,RU,male,male,0.99,13185
L.Labzowsky.1,Leonti,Russian Federation,RU,male,male,1.0,1
G.Plunien.1,Gunter,Germany,DE,male,male,1.0,2933
G.Soff.1,Gerhard,Germany,DE,male,male,1.0,22316
V.Karasev.1,Valentin,Venezuela,VE,male,male,0.99,192
J.H.Krolik.1,Julian,United States,US,male,male,0.99,45828
A.A.Rincon.Maggiolo.1,Ali,Venezuela,VE,male,male,0.91,173
C.R.Cowley.1,Charles,United States,US,male,male,1.0,289213
R.M.Santilli.1,Ruggero Maria,United States,US,male,female,1.0,476674
J.A.Gonzalez.2,Jose Antonio,Venezuela,VE,male,male,1.0,51443
R.Botet.1,Robert,France,FR,male,male,0.98,47513
M.Ploszajczak.1,Marek,France,FR,male,male,0.99,1030
A.Melfo.1,Alejandra,Chile,CL,female,female,1.0,31251
M.A.Lledo.1,Maria Antonia,Venezuela,VE,female,female,1.0,38869
K.W.Kemper.1,Kirby,United States,US,male,male,0.76,1607
L.Andrianopoli.1,Laura,Italy,IT,female,female,0.99,244777
R.D.Auria.1,Riccardo,Italy,IT,male,male,1.0,157104
Sergio.Ferrara.1,Sergio,France,FR,male,male,0.99,8105
D.E.Diaz.1,Danilo,Venezuela,VE,male,male,1.0,492
A.Zaffaroni.1,Alberto,France,FR,male,male,0.99,4176
S.Fumeron.1,Sébastien,France,FR,male,male,1.0,41182
F.A.N.Santos.1,FernandoN,Brazil,BR,unknown,male,1.0,1
F.Moraes.1,Fernando,France,FR,male,male,0.99,8399
R.G.Deveras.1,Rolando Gaitan,Venezuela,VE,male,male,1.0,845
A.Mejia.2,Alfredo,Venezuela,VE,male,male,1.0,4598
G.Spavieri.1,Gianfranco,Venezuela,VE,male,male,1.0,196
F.Vera.3,Frank,Venezuela,VE,male,male,0.99,2714
L.A.Gergely.1,László Árpád,Hungary,HU,male,male,1.0,1
Roberto.Casadio.1,Roberto,Italy,IT,male,male,1.0,365271
G.R.Gonzalez.Martin.1,Gustavo,Venezuela,VE,male,male,1.0,6712
L.Quevedo.1,Leonardo,Germany,DE,male,male,0.99,1994
A.Sotomayor.1,Adrian,Venezuela,VE,male,male,0.98,322
N.Hatcher.1,Nicolas,Venezuela,VE,male,male,1.0,775
J.Bellorin.1,Jorge,Venezuela,VE,male,male,1.0,12587
F.Febres.Cordero.1,Fernando,Venezuela,VE,male,male,1.0,5156
L.Reina.1,Laura,United States,US,female,female,1.0,362898
D.Wackeroth.1,Doreen,United States,US,female,female,1.0,20229
John.M.Campbell.1,John,United States,US,male,male,1.0,1328805
F.Caola.1,Fabrizio,United States,US,male,male,1.0,1536
Z.Bern.1,Zvi,United States,US,male,male,1.0,529
L.J.Dixon.1,Lance,United States,US,male,male,1.0,46567
S.Hoeche.1,Stefan,United States,US,male,male,1.0,14778
H.Ita.1,Harald,Germany,DE,male,male,1.0,24151
D.A.Kosower.1,David Ariel,France,FR,male,male,1.0,1
D.Maitre.1,Daniel,United Kingdom,GB,male,male,1.0,150020
K.J.Ozeren.2,Kemal,United States,US,male,male,0.99,947
K.J.Ozeren.1,Kemal,United States,US,male,male,0.99,947
Roldao.da.Rocha.1,Roldão,Brazil,BR,unknown,male,1.0,10
G.Diana.1,Giovanni,France,FR,male,male,0.99,6843
J.A.Pullin.1,Jorge,United States,US,male,male,1.0,145233
J.G.Taylor.1,John,United Kingdom,GB,male,male,1.0,368613
R.S.Torrealba.2,Rafael,Venezuela,VE,male,male,1.0,11774
J.Lopez.2,Jose Luis,Venezuela,VE,male,male,1.0,51443
E.I.Catala.1,Estenban Isasi,Venezuela,VE,unknown,unknown,0.0,0
L.Boulton.1,Lyonell,Canada,CA,unknown,unknown,0.0,0
I.Taboada.1,Ignacio,Venezuela,VE,male,male,1.0,881
Javier.G.Gonzalez.1,Javier,United States,US,male,male,1.0,81703
J.Baker.1,John,United States,US,male,male,1.0,1328805
E.C.Marino.1,Eduardo Cantera,Brazil,BR,male,male,1.0,151764
R.O.Ramos.1,Rudnei,Brazil,BR,unknown,male,0.99,166
J.P.Veiro.1,Jean Pierre,Venezuela,VE,male,female,0.87,3998
M.Hernandez.1,Miguel Angel,Venezuela,VE,male,male,1.0,12487
M.Campiglia.1,Miguel,Uruguay,UY,male,male,0.99,8173
C.F.Berger.1,Carola,United States,US,female,female,1.0,1749
D.Forde.1,Darren,France,FR,male,male,0.98,423
T.Gleisberg.1,Tanju,United States,US,male,male,0.92,12
R.Coquereaux.1,Robert,France,FR,male,male,0.98,47513
E.Isasi.1,Esteban,Venezuela,VE,male,male,1.0,929
G.Schieber.1,Gil,France,FR,male,male,0.95,5940
R.Perez.Graterol.1,Rafael,Venezuela,VE,male,male,1.0,11774
P.Chand.1,Prakash,Venezuela,VE,male,unknown,0.0,0
E.Leal.Quiros.1,Edbertho,Venezuela,VE,unknown,unknown,0.0,0
M.I.Caicedo.2,Mario,Venezuela,VE,male,male,1.0,3427
J.R.Andersen.1,Jeppe Rosenkrantz,United Kingdom,GB,male,male,1.0,18
S.Bartle.1,Stephanie,United Kingdom,GB,female,female,1.0,39187
N.A.Lo.Presti.1,Nicola Adriano,France,FR,female,male,0.9,1822
E.Leal.2,Edbertho,Venezuela,VE,unknown,unknown,0.0,0
H.Barros.1,Haydn,Venezuela,VE,male,unknown,0.0,0
E.Castro.1,Maria Elena,Venezuela,VE,female,female,1.0,38869
J.A.Fernandez.2,Julio,,,male,unknown,0.0,0
M.F.Ferreira.1,Manuel,Venezuela,VE,male,male,1.0,9234
J.Stankiewicz.1,Jolanta,United States,US,female,female,1.0,1460
P.S.Martin.1,Philippe,Venezuela,VE,male,male,1.0,35
F.X.Linares.1,Francisco,Mexico,MX,male,male,1.0,136850
P.T.Allen.1,Paul,Germany,DE,male,male,0.99,32206
L.Andersson.1,Lars,Germany,DE,male,male,1.0,32552
J.Li.20,Jiaqi,United States,US,andy,female,0.96,885
J.M.Ryan.1,John,United States,US,male,male,1.0,1328805
C.J.Vanegas.1,Carmen,Venezuela,VE,female,female,0.98,500
C.Colonnello.1,Claudia,Venezuela,VE,female,female,1.0,2623
J.Bellorin.3,Jorge,Venezuela,VE,male,male,1.0,12587
A.Sotomayor.3,Adrián,Chile,CL,male,male,0.98,222
F.Nori.1,Franco,Venezuela,VE,male,male,1.0,784
A.Pasqua.1,Antonio,Italy,IT,male,male,0.99,577619
M.Kolesik.1,Miroslav,Slovakia,SK,male,male,1.0,7885
K.S.Park.1,Kee Su,United States,US,andy,female,0.77,881
B.Binegar.1,Birne Thomas,United States,US,male,male,1.0,360809
C.Fronsdal.1,Christian,United States,US,male,male,0.99,125160
M.Flato.1,Moshe,France,FR,male,male,0.99,134
R.A.Porto.1,Rafael Alejandro,United States,US,male,male,1.0,20
A.De.Freitas.1,Abilio,Venezuela,VE,male,male,1.0,65
A.Belhaj.1,Adil,Spain,ES,male,male,0.98,3203
A.Segui.1,Antonio,Spain,ES,male,male,0.99,362057
A.Sotomayor.2,Adri,Chile,CL,andy,female,0.88,69
M.Vollmann.1,Martin,Venezuela,VE,male,male,1.0,1196
D.Canko.1,Dhimiter,Greece,GR,male,male,1.0,59
A.Kardos.1,Adam,Hungary,HU,male,male,0.99,3775
C.G.Papadopoulos.1,Costas,Greece,GR,male,male,1.0,2908
A.V.Smirnov.1,Alexander,Russian Federation,RU,male,male,1.0,49699
N.Syrrakos.1,Nikolaos,Greece,GR,male,male,1.0,8237
C.Wever.1,Christopher,Venezuela,VE,male,male,1.0,320
F.Tello.Ortiz.2,Francisco,Chile,CL,male,male,1.0,55470
J.Blumlein.1,Johannes,Germany,DE,male,male,1.0,35940
W.L.Van.Neerven.1,Willy,Netherlands,NL,male,female,0.61,5932
L.C.Vega.1,Cortés,Chile,CL,unknown,male,0.67,9
Miguel.Angel.Garcia.Aspeitia.1,Miguel Ángel,Mexico,MX,male,male,1.0,2559
